127.0.0.1 - - [06/Sep/2022:13:52:10 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/index.pik HTTP/1.1" 200 22844
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/js/jquery.dropotron.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/css/main.css HTTP/1.1" 200 48723
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/images/main_font_logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/css/images/bg02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/css/images/bg01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:11 +0900] "GET /beer/images/beer_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:29 +0900] "POST /beer/login.pik HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:30 +0900] "GET /beer/index.pik HTTP/1.1" 200 22879
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:30 +0900] "GET /beer/assets/css/images/bg02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:30 +0900] "GET /beer/assets/css/images/bg01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:32 +0900] "GET /beer/myPage.pik HTTP/1.1" 200 23263
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:32 +0900] "GET /beer/assets/css/myPage.css HTTP/1.1" 200 4316
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:32 +0900] "GET /beer/assets/js/myPage.js HTTP/1.1" 200 4629
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:32 +0900] "GET /imgMember/1641.jpg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:32 +0900] "GET /beer/assets/css/images/bg02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:13:52:32 +0900] "GET /beer/assets/css/images/bg01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:32:50 +0900] "GET /beer/beerRecommendForm.pik HTTP/1.1" 200 20303
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:32:50 +0900] "GET /beer/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:32:50 +0900] "GET /beer/assets/css/images/bg02.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:32:50 +0900] "GET /beer/assets/css/images/bg01.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:32:50 +0900] "GET /beer/beerSideList.pik HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:16:32:52 +0900] "GET /beer/beerRecommendList.pik HTTP/1.1" 200 172844
